protocol,payload_bytes,buffer_bytes,condition,throughput_mbps,loss_rate_pct,jitter_ms,avg_owd_ms,run_index
UDP,64,65536,high_latency,0.0843,0.0,1.2378,51.2898,3
UDP,256,65536,high_latency,0.3352,0.0,1.3143,51.4009,1
UDP,256,65536,high_latency,0.336,0.0,1.281,51.3367,2
UDP,256,65536,high_latency,0.3364,0.0,1.2692,51.3311,3
UDP,1024,65536,high_latency,1.3416,0.0,1.2578,51.3164,1
UDP,1024,65536,high_latency,1.3387,0.0,1.2954,51.2875,2
UDP,1024,65536,high_latency,1.341,0.0,1.31,51.3194,3
UDP,4096,65536,high_latency,5.3759,0.0,1.1616,51.2968,1
UDP,4096,65536,high_latency,5.3843,0.0,1.2006,51.2725,2
UDP,4096,65536,high_latency,5.3576,0.0,1.2142,51.2555,3
UDP,16384,65536,high_latency,21.4223,0.0,1.1488,52.2973,1
UDP,16384,65536,high_latency,21.4017,0.0,1.0885,52.2551,2
UDP,16384,65536,high_latency,21.5297,0.0,1.2909,52.3846,3
UDP,64,65536,bufferbloat,0.0842,0.0,0.3678,1.254,1
UDP,64,65536,bufferbloat,0.0844,0.0,0.4565,1.2651,2
UDP,64,65536,bufferbloat,0.0844,0.0,0.4299,1.2522,3
UDP,256,65536,bufferbloat,0.3384,0.0,1.1668,3.2169,1
UDP,256,65536,bufferbloat,0.3414,0.0,1.2538,3.2236,2
UDP,256,65536,bufferbloat,0.3415,0.0,1.2402,3.243,3
UDP,1024,65536,bufferbloat,0.9755,7.8,0.9878,519.7005,1
UDP,1024,65536,bufferbloat,0.9754,8.0,0.9345,519.9347,2
UDP,1024,65536,bufferbloat,0.9756,8.0,0.9986,515.7579,3
UDP,4096,65536,bufferbloat,0.9982,61.8,0.6437,2250.5027,1
UDP,4096,65536,bufferbloat,0.9984,61.6,0.5105,2256.4914,2
UDP,4096,65536,bufferbloat,0.9982,61.6,0.6136,2256.7948,3
UDP,16384,65536,bufferbloat,0.0,100.0,0.0,0.0,1
UDP,16384,65536,bufferbloat,0.0,100.0,0.0,0.0,2
UDP,16384,65536,bufferbloat,0.0,100.0,0.0,0.0,3
UDP,64,65536,lossy,0.0785,5.2,0.8843,1.2321,1
UDP,64,65536,lossy,0.0787,4.6,0.6787,1.2169,2
UDP,64,65536,lossy,0.0789,4.4,0.7674,1.2158,3
UDP,256,65536,lossy,0.3109,5.6,0.8785,1.2139,1
UDP,256,65536,lossy,0.3191,3.4,0.6144,1.218,2
UDP,256,65536,lossy,0.3181,3.6,0.6109,1.2134,3
UDP,1024,65536,lossy,1.2422,5.8,0.9523,1.2212,1
UDP,1024,65536,lossy,1.2694,3.8,0.6384,1.2184,2
UDP,1024,65536,lossy,1.2526,5.2,0.8032,1.2217,3
UDP,4096,65536,lossy,4.9622,6.4,1.0018,1.2244,1
UDP,4096,65536,lossy,5.0611,4.8,0.7945,1.248,2
UDP,4096,65536,lossy,5.0737,5.0,0.9446,1.2451,3
UDP,16384,65536,lossy,20.4153,4.8,1.267,2.2577,1
UDP,16384,65536,lossy,19.8036,6.6,1.4988,2.2375,2
UDP,16384,65536,lossy,20.6645,4.6,1.3618,2.219,3
